route_id,route_short_name,route_long_name,trip_id,stop_sequence,stop_id,stop_name,arrival_time,departure_time
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,6,903402,Walnut Creek,06:22:00,06:23:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,7,903302,Lafayette,06:27:00,06:27:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,8,903202,Orinda,06:32:00,06:32:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,9,903102,Rockridge,06:38:00,06:38:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,10,900304,MacArthur,06:41:00,06:41:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,11,900202,19th Street Oakland,06:44:00,06:45:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,12,900102,12th Street / Oakland City Center,06:46:00,06:47:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,13,901101,West Oakland,06:51:00,06:52:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,14,901161,Embarcadero,06:58:00,06:59:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,15,901201,Montgomery Street,07:00:00,07:00:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,16,901301,Powell Street,07:02:00,07:02:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,17,901401,Civic Center / UN Plaza,07:03:00,07:04:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,18,901501,16th Street / Mission,07:06:00,07:06:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,19,901601,24th Street / Mission,07:08:00,07:08:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,20,901701,Glen Park,07:10:00,07:11:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,21,901801,Balboa Park,07:13:00,07:13:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,22,901903,Daly City,07:17:00,07:18:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,23,906101,Colma,07:21:00,07:22:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,24,906201,South San Francisco,07:24:00,07:25:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,25,906301,San Bruno,07:28:00,07:28:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,26,907101,San Francisco International Airport,07:32:00,07:33:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,0,908302,Antioch,06:10:00,06:10:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,1,908202,Pittsburg Center,06:17:00,06:17:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,2,903802,Pittsburg / Bay Point,06:24:00,06:24:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,3,903702,North Concord / Martinez,06:30:00,06:31:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,4,903602,Concord,06:34:00,06:35:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,5,903502,Pleasant Hill / Contra Costa Centre,06:39:00,06:40:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,6,903402,Walnut Creek,06:42:00,06:43:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,7,903302,Lafayette,06:47:00,06:47:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,8,903202,Orinda,06:52:00,06:52:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,9,903102,Rockridge,06:58:00,06:58:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,10,900304,MacArthur,07:01:00,07:01:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,11,900202,19th Street Oakland,07:04:00,07:05:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,12,900102,12th Street / Oakland City Center,07:06:00,07:07:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,13,901101,West Oakland,07:11:00,07:12:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,14,901161,Embarcadero,07:18:00,07:19:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,15,901201,Montgomery Street,07:20:00,07:20:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,16,901301,Powell Street,07:22:00,07:22:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,17,901401,Civic Center / UN Plaza,07:23:00,07:24:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,18,901501,16th Street / Mission,07:26:00,07:26:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,19,901601,24th Street / Mission,07:28:00,07:28:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,20,901701,Glen Park,07:30:00,07:31:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,21,901801,Balboa Park,07:33:00,07:33:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,22,901903,Daly City,07:37:00,07:38:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,23,906101,Colma,07:41:00,07:42:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,24,906201,South San Francisco,07:44:00,07:45:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,25,906301,San Bruno,07:48:00,07:48:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674226,26,907101,San Francisco International Airport,07:52:00,07:53:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,0,908302,Antioch,06:30:00,06:30:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,1,908202,Pittsburg Center,06:37:00,06:37:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,2,903802,Pittsburg / Bay Point,06:44:00,06:44:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,3,903702,North Concord / Martinez,06:50:00,06:51:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,4,903602,Concord,06:54:00,06:55:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,5,903502,Pleasant Hill / Contra Costa Centre,06:59:00,07:00:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,6,903402,Walnut Creek,07:02:00,07:03:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,7,903302,Lafayette,07:07:00,07:07:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,8,903202,Orinda,07:12:00,07:12:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,9,903102,Rockridge,07:18:00,07:18:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,10,900304,MacArthur,07:21:00,07:21:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,11,900202,19th Street Oakland,07:24:00,07:25:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,12,900102,12th Street / Oakland City Center,07:26:00,07:27:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,13,901101,West Oakland,07:31:00,07:32:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,14,901161,Embarcadero,07:38:00,07:39:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,15,901201,Montgomery Street,07:40:00,07:40:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,16,901301,Powell Street,07:42:00,07:42:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,17,901401,Civic Center / UN Plaza,07:43:00,07:44:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,18,901501,16th Street / Mission,07:46:00,07:46:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,19,901601,24th Street / Mission,07:48:00,07:48:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,20,901701,Glen Park,07:50:00,07:51:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,21,901801,Balboa Park,07:53:00,07:53:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,22,901903,Daly City,07:57:00,07:58:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,23,906101,Colma,08:01:00,08:02:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,24,906201,South San Francisco,08:04:00,08:05:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,25,906301,San Bruno,08:08:00,08:08:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674227,26,907101,San Francisco International Airport,08:12:00,08:13:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,0,908302,Antioch,06:43:00,06:43:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,1,908202,Pittsburg Center,06:50:00,06:50:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,2,903802,Pittsburg / Bay Point,07:04:00,07:04:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,3,903702,North Concord / Martinez,07:10:00,07:11:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,4,903602,Concord,07:14:00,07:15:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,5,903502,Pleasant Hill / Contra Costa Centre,07:19:00,07:20:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,6,903402,Walnut Creek,07:22:00,07:23:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,7,903302,Lafayette,07:27:00,07:27:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,8,903202,Orinda,07:32:00,07:32:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674228,9,903102,Rockridge,07:38:00,07:38:00
